predicted_rain_sum (mm),predicted_temp_max (°C),predicted_temp_min (°C),predicted_sunrise_hour,predicted_sunset_hour
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08991319,33.79133,22.882774,0.7022036,13.105836
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
-0.08479365,36.71543,23.938206,0.6585161,13.116274
